feature,mean_importance,bootstrap_stability
RASSF1A_prom,0.002297606068654174,0.0
PWY22,0.002017882459762611,0.0
TIMP3_prom,0.0020031498829347315,0.0
NDC80,0.0019718917986526613,0.0
CpG10_prom,0.0016751321112439398,0.0
PWY11,0.0016122837507541025,0.0
PWY31,0.00161047529234338,0.0
CpG21_prom,0.00160625518089667,0.0
CENPF,0.0015297627327241858,0.0
PWY12,0.0015124891207414707,0.0
CDC6,0.0014978299980690716,0.0
PWY19,0.0014860855564019456,0.0
HER2,0.0012685074698515742,0.0
NUF2,0.0012313013893147607,0.0
BAG1,0.001177789445131448,0.0
PWY10,0.001176322126201807,0.0
CpG2_prom,0.0010822372850120454,0.0
PWY23,0.0010096850751434559,0.0
PWY13,0.0009805754263116895,0.0
PHGDH,0.0009668273532906799,0.0
ACTR3B,0.0009589799328482156,0.0
p-HER2_Y1248,0.0008981596775438861,0.0
SFRP1,0.0008944340978999831,0.0
Cyclin-B1,0.000850638235141171,0.0
CpG18_prom,0.0008156262054619135,0.0
TMEM45B,0.0008116676034946464,0.0
ER-alpha,0.0007789049109701386,0.0
PWY17,0.0007140175086493665,0.0
PWY28,0.0006865364664496085,0.0
PWY2,0.0006787128692502103,0.0
PWY38,0.0006602617480509171,0.0
Ki-67,0.000652603898663722,0.0
CpG20_prom,0.0006408188418293078,0.0
EXO1,0.0006330916748323952,0.0
ANLN,0.0006256985970907312,0.0
EGFR,0.0006180552784704062,0.0
Vimentin,0.0006144226708096413,0.0
PR,0.0006037115433712362,0.0
MLH1_prom,0.0005958337909486675,0.0
BLVRA,0.0005845959554125039,0.0
p-S6_S235,0.0005742682853009885,0.0
PWY20,0.0005598291386103182,0.0
PTEN,0.0005452480610672443,0.0
N-cadherin,0.0005175020194021255,0.0
MMP11B,0.0005170714271625788,0.0
PCNA,0.0004940170231238725,0.0
KRT14,0.00048422019637019023,0.0
CpG4_prom,0.00048197297035059886,0.0
NAT1,0.0004791734885498793,0.0
p-ERK_T202Y204,0.0004686333324531865,0.0
gammaH2AX,0.0004675617594015644,0.0
Bcl-2,0.00046432375564888054,0.0
ERK2,0.0004603873001256356,0.0
CDK1,0.0004559627641423057,0.0
BRCA1,0.0004542789092293574,0.0
CpG8_prom,0.0004484527647481798,0.0
p-mTOR_S2448,0.0004450023852660279,0.0
Chk2,0.00043949834738753104,0.0
c-Myc,0.00043896559950319886,0.0
PWY3,0.00043705984498649734,0.0
CpG1_prom,0.0004318509879678211,0.0
p-EGFR_Y1068,0.0004267654400460359,0.0
Cyclin-E1,0.00042198373704612033,0.0
p53,0.00042091298920367715,0.0
Cyclin-D1,0.00041988984198022003,0.0
PWY37,0.0004113920415762981,0.0
CpG3_prom,0.00040182973596928023,0.0
AKT,0.00040164856567308764,0.0
Chk1,0.0003974254638860244,0.0
E-cadherin,0.0003967112096731414,0.0
p-GSK3_S9,0.00038960955659164155,0.0
CpG23_prom,0.00038825666648988717,0.0
CpG16_prom,0.0003851416259062149,0.0
mTOR,0.0003806985030016601,0.0
PWY4,0.0003802046213971055,0.0
p-MEK1_S217,0.00037420817644231546,0.0
PWY25,0.00036918037735661805,0.0
p-AKT_T308,0.0003654929012152014,0.0
CpG7_prom,0.0003631443199151858,0.0
MEK1,0.0003602362070424657,0.0
CpG12_prom,0.0003566447153651463,0.0
CpG17_prom,0.00035473259371413153,0.0
CpG19_prom,0.00035227532909790137,0.0
p-AKT_S473,0.00035048062104218173,0.0
PWY32,0.00034873155464071635,0.0
Beta-catenin,0.00034103846136268004,0.0
PWY5,0.0003354220757788107,0.0
MDM2,0.00032804985176550656,0.0
CpG22_prom,0.0003273004371054941,0.0
TMB_per_Mb,0.0003272079822935784,0.0
PWY26,0.00032300504648535833,0.0
PARP,0.0003199338319572972,0.0
MDM2,0.0003185159136932785,0.0
Bax,0.00031726152009810537,0.0
GSK3-alpha-beta,0.0003146681032115296,0.0
